Comune,Regione,Media Incidenti,Media Feriti,Media Morti,Media Superficie(Kmq),Media Popolazione,Incidenti_Pro_Capite_1000,Lesività_Pro_Capite_1000,Densità_Incidenti_Kmq
Agnana Calabra,Calabria,0.4,0.5,0.0,8.48723,508.7,0.7863180656575586,0.9828975820719481,0.04712962886595509
Agnone,Molise,5.454545454545454,8.727272727272727,0.09090909090909091,96.8489,4892.909090909091,1.1147857753335066,1.8022370034558357,0.05632015907816665
Agnosine,Lombardia,1.7272727272727273,2.1818181818181817,0.0,13.5546,1694.8181818181818,1.0191492785495897,1.287346457115271,0.1274307413920534
Agordo,Veneto,6.2727272727272725,9.727272727272727,0.0,23.742500000000003,4093.4545454545455,1.5323798525361996,2.3762991916141067,0.26419826356648507
Agosta,Lazio,3.3636363636363638,5.2727272727272725,0.09090909090909091,9.4997,1721.6363636363637,1.953743795543352,3.1154292955961553,0.35407816706173495
Agra,Lombardia,0.1,0.1,0.0,2.80517,395.2,0.25303643724696356,0.25303643724696356,0.03564846337298631
Agrate Brianza,Lombardia,57.81818181818182,79.36363636363636,1.0909090909090908,11.2176,15372.818181818182,3.761065871875388,5.233558642468111,5.1542381452522665
Agrate Conturbia,Piemonte,1.8181818181818181,2.4545454545454546,0.09090909090909091,14.536327272727272,1553.6363636363637,1.1702750146284375,1.6383850204798125,0.1250784867504359
Agrigento,Sicilia,159.54545454545453,234.0909090909091,2.8181818181818183,244.6806090909091,57336.454545454544,2.782618071003534,4.131910366401829,0.6520559808079304
Agropoli,Campania,62.36363636363637,95.0,1.3636363636363635,32.77479090909091,21465.545454545456,2.9052900843211744,4.489223745452543,1.9027928061117927
Agugliano,Marche,10.272727272727273,13.181818181818182,0.18181818181818182,21.8901,4773.090909090909,2.1522169739448427,2.7997866829193967,0.4692864478795105
Agugliaro,Veneto,4.0,5.636363636363637,0.45454545454545453,14.695436363636363,1403.1818181818182,2.850664075153871,4.340783932620667,0.2721933463573726
Aicurzio,Lombardia,1.6363636363636365,1.8181818181818181,0.0,2.4676363636363634,2082.4545454545455,0.7857860042781684,0.8730955603090758,0.6631299734748012
Aidomaggiore,Sardegna,0.45454545454545453,0.8181818181818182,0.0,41.20502727272728,419.90909090909093,1.0824853864472828,1.9484736956051094,0.011031310610157231
Aidone,Sicilia,2.0,3.6363636363636362,0.36363636363636365,210.77593636363636,4499.909090909091,0.4444534233014808,0.8889068466029616,0.009488749211625114
Aielli,Abruzzo,3.4545454545454546,5.454545454545454,0.09090909090909091,37.516563636363635,1434.090909090909,2.4088748019017436,3.866877971473851,0.09208054042553811
Aiello Calabro,Calabria,0.3,0.5,0.0,38.50587,1562.7,0.1919754271453254,0.319959045242209,0.007791019914626003
Aiello del Friuli,Friuli-Venezia Giulia,6.636363636363637,9.909090909090908,0.45454545454545453,13.3473,2200.6363636363635,3.0156566282480277,4.709381583839385,0.4972064489719746
Aiello del Sabato,Campania,1.3636363636363635,1.5454545454545454,0.09090909090909091,10.8723,4001.4545454545455,0.3407851690294438,0.4089422028353326,0.1254229890305054
Aieta,Calabria,0.0,0.0,0.0,48.2952,774.6,0.0,0.0,0.0
Ailano,Campania,0.8,1.1,0.1,16.0556,1300.9,0.6149588746252594,0.9224383119378892,0.04982685169037595
Ailoche,Piemonte,0.3,0.4,0.0,10.782720000000001,323.0,0.9287925696594427,1.238390092879257,0.027822293447293443
Airasca,Piemonte,7.363636363636363,12.545454545454545,0.18181818181818182,15.739299999999998,3682.7272727272725,1.9995062947420392,3.455936805726981,0.46785030869456484
Airola,Campania,7.363636363636363,13.0,0.45454545454545453,14.905563636363636,8195.181818181818,0.8985323970847615,1.6417628983770953,0.4940193167651859
